> fit <- eBayes(fit,robust=TRUE,trend=TRUE)
>              
> topTable(fit,coef=2, number=12)
            logFC    AveExpr         t      P.Value    adj.P.Val         B
CDH3     6.558946 10.2939287  25.24761 1.242541e-63 2.024471e-59 133.74855
KRT80    7.484569  8.9729081  24.01882 2.082107e-60 1.696188e-56 126.48167
OTOP2   -9.106807  1.5042878 -22.70658 6.432216e-57 3.493337e-53 118.60345
ETV4     6.061966 10.4688395  21.55730 1.058944e-53 4.313346e-50 111.33022
ESM1     5.973342  6.6876652  19.15318 7.095393e-47 2.312105e-43  95.86602
MTHFD1L  2.652248  9.6592282  17.80445 6.659936e-43 1.808506e-39  86.85075
LGI1    -4.508177  0.9565292 -17.75637 9.257563e-43 2.154764e-39  86.52599
KRT24   -5.897839  0.8172307 -17.49861 5.430738e-42 1.106038e-38  84.78108
GRIN2D   6.074149  8.7239554  17.20146 4.455620e-41 8.066157e-38  82.70523
JUB      3.244456  8.7074714  16.91030 3.146724e-40 5.126957e-37  80.77623
BEST4   -6.796260  4.0011490 -16.84313 5.011152e-40 7.422427e-37  80.31708
PYY     -9.160939  2.2274530 -16.78222 7.643341e-40 9.983339e-37  79.90049
